author,T01_Technical,T02_Process,T03_Governance,T04_Economic,T05_Off_topic
mlegls,6,0,1,0,0
mrocker,7,1,0,0,0
mruderman,1,0,0,0,0
mruderman1,1,0,0,0,0
myuksal,1,0,0,0,0
nabil-brickken,1,0,0,0,0
nftprof,6,0,0,0,0
nicobernad,1,2,0,0,0
node0,1,0,0,0,0
noemiplatform,1,1,0,0,0
nuhgid,1,0,0,0,0
nxt3d,27,3,0,0,0
opwizardx,2,0,0,0,0
orgtrust.eth,2,0,0,0,0
pablocactus,61,3,1,0,0
pcarranzav,8,0,0,0,0
peersky,1,0,0,0,0
phiraml,4,4,1,0,0
pipavlo82,4,0,0,0,0
qinwang-git,2,0,0,0,0
rithikha,1,0,0,0,0
riza,1,0,0,0,0
ryanberckmans,1,0,0,0,0
ryanio,6,0,0,0,0
sariknanaki,1,0,0,0,0
sarkazein,1,0,0,0,0
sbacha,1,0,0,0,0
sebastianwall,1,0,0,0,0
skilesare,1,0,0,0,0
smolfren,1,0,0,0,0
soispoke,1,0,0,0,0
spengrah,5,0,0,0,0
sterlingcrispin,1,0,0,0,0
system,1,5,0,0,0
tachikomared,1,0,0,0,0
tantodefi,1,0,0,0,0
ten-io-meta,4,0,0,0,0
termixai,0,0,0,1,0
thamerdridi,3,0,0,0,0
theagora,1,0,0,0,0
thom-nagel,0,1,0,0,0
tim-cotten,1,0,0,0,0
tokmakoff,1,0,0,0,0
treza-labs,1,0,0,0,0
tunnckoCore,1,0,0,0,0
vincentcaptain,1,2,0,0,0
vishwa-network,1,0,0,0,0
vkpatva,1,0,0,0,0
voidcenter,2,0,0,0,0
wanderosity,1,0,0,0,0
wangbin9953,4,1,0,0,0
webx34455,0,0,0,0,1
weedeej,2,0,0,0,0
wjmelements,1,0,0,0,0
wscdcm,5,0,0,0,0
xhronos444,4,1,0,0,0
xiaowh7,1,0,0,0,0
xinbenlv,15,2,0,0,0
xrow,1,0,0,0,0
xrqin,15,1,0,0,0
yehia67,1,0,0,0,0
zaryab2000,1,0,0,0,0
zexoverz,2,0,0,0,0
ziemen4,2,1,0,0,0
zonu,3,0,0,0,0
