author,T01_Technical,T02_Process,T03_Governance,T04_Economic,T05_Off_topic
aglicacha,6,1,0,0,0
ahoblitz,2,0,0,0,0
ai-boost,5,7,0,0,1
aiagentexpert,1,0,0,0,0
aickin,6,1,0,0,0
aimable100,2,0,0,0,0
ajaynagotha,1,3,1,1,0
ajoslin103,2,0,0,0,0
akdong91,1,0,0,0,0
akintunca,1,1,0,0,0
akshaykokane,1,1,0,0,0
alain-sv,1,0,0,0,0
alampolee,1,1,0,0,0
alan-silverstreams,3,0,0,0,0
alantriesagain,0,2,0,0,0
alanyst,3,0,0,0,0
alexbainbridge,1,0,0,0,0
alexec,14,0,0,1,0
alextibbles,2,0,0,0,0
ali-0407,1,0,0,0,0
alinaqi,1,0,0,0,0
amin-nikanjam,1,0,0,0,0
amye,3,38,1,0,0
andorsk,0,1,0,0,0
andreibesleaga,4,0,0,0,0
andrewdavidmackenzie,1,1,0,0,0
andy1213aa,1,0,0,0,0
anjanas,2,0,0,0,0
annicode01,3,0,0,0,0
architectureofthings,4,0,0,0,0
arislan-lilo,2,2,0,0,0
arunim1,0,1,0,0,0
ashubham,1,0,0,0,0
ashwin63,1,0,0,0,0
austin-tral,1,0,0,0,0
austinmyc,1,0,0,0,0
automateyournetwork,2,1,0,0,0
aviaviavi,0,1,0,0,0
awickham10,2,0,0,0,0
azyobuzin,2,0,0,0,0
barnendu,4,0,0,0,0
batprem,1,0,0,0,0
beauduffy,1,0,0,0,0
benclarkeio,10,3,1,0,0
beonde,7,0,2,0,0
bgauryy,2,0,0,0,0
bigmac7,1,0,0,0,0
binbandit,5,1,0,0,0
birdayz,1,0,0,0,0
bittr-oss,2,0,0,0,0
bkowal,2,0,0,0,0
blakebrannon,0,0,1,0,0
blkt,5,0,0,0,0
bobtista,8,0,0,0,0
borisalekseev,1,0,0,0,0
bparees,2,0,0,0,0
brasseld,1,0,0,0,0
brunogrbavac,2,0,0,0,0
brycewcole,2,2,0,0,0
buddha314,1,1,0,0,0
bufdev,1,0,0,0,0
buithehai1994,1,0,0,0,0
bustosjuan,1,0,0,0,0
c-mysec,15,0,0,0,0
cardioailive1,0,1,0,0,0
carlesarnal,1,0,0,0,0
cciwami,1,0,0,0,0
cdavernas,6,3,2,0,0
chendatony31,1,0,0,0,0
chenglin130,1,0,0,0,0
chicogong,1,0,0,0,0
chl1123,1,0,0,0,0
chorghemaruti64-creator,47,0,1,0,0
chris-j-handel,1,0,0,0,0
cj2a7t,1,0,0,0,0
cled,1,0,0,0,0
clintwar,1,0,0,0,0
codefromthecrypt,5,2,0,0,0
coyotwill,0,1,0,0,0
ctorrao,1,0,0,0,0
daavoo,4,2,0,0,0
daltonnyx,5,0,0,0,0
danbri,2,0,0,0,0
danieldai,1,0,0,0,0
danja,2,0,0,0,0
darkhaniop,47,20,1,0,0
darrelmiller,203,72,6,0,0
dasiths,1,0,0,0,0
davidlivekoo2012,7,1,0,0,0
davrous,1,0,0,0,0
dayuyang1999,3,0,0,0,0
dbkalaria,1,0,0,0,0
dchrty,1,0,0,0,1
debug313,0,1,0,0,0
decode-mayank,2,0,0,0,0
deepakskhetwal,0,2,1,0,0
developer-dexwox,1,0,0,0,0
devsodhirao,0,0,0,1,0
dfdumaresq,6,0,0,0,0
dgenio,11,0,0,0,0
dhaan-ish,1,0,0,0,0
dhdanie,4,0,0,0,0
dibenedetto,1,0,0,0,0
didier-durand,20,6,0,0,0
dinesh707,8,1,0,0,0
djsamseng,15,4,0,0,0
dmandar,18,6,0,0,0
dongyunpeng-sjtu,1,0,0,0,0
douglasborthwick-crypto,9,1,0,0,0
ducknificient,3,0,0,0,0
duglin,1,0,0,0,0
dukeren,1,0,0,0,0
dylang,1,0,0,0,0
e1327906,1,0,0,0,0
edenreich,22,9,0,0,0
egor-baranov,8,0,0,0,0
ehsavoie,5,0,0,0,0
eilon-shai,1,1,0,0,0
elCaptnCode,0,2,0,0,0
electrocucaracha,1,0,0,0,0
elevenarms,1,0,0,0,0
eli-osherovich,3,0,0,0,0
ericksonc,1,0,0,0,0
ethlaude,1,0,0,0,0
everettVT,4,0,1,0,0
f,1,0,0,0,0
fapont,1,0,0,0,0
felix-schultz,1,0,0,0,0
fernando-torres-blip-ai,4,0,0,0,0
fhinkel,0,1,0,0,0
fjuma,4,0,0,0,0
flex-myeonghyeon,2,0,0,0,0
flystar32,1,0,0,0,0
freedeaths,1,0,0,0,0
fryfry33,1,0,0,0,0
fwklucznik,1,0,0,0,0
gNtino,5,0,0,0,0
gabayben,1,1,0,0,0
gagb,4,0,0,0,0
gate4ai-alex,1,0,0,0,0
geneknit,1,1,0,0,0
ghostdoglzd,1,1,0,0,0
gianpaj,1,0,0,0,0
gijswalraven,13,2,0,0,0
gilamsalem,2,0,0,0,0
giovanni-velais,1,0,0,0,0
git-vote,3,22,0,0,0
glushenkovIG,1,0,0,0,0
gpanakkal,2,0,0,0,0
graemefoster,4,0,0,0,0
gregboero,3,0,0,0,0
grll,5,0,0,0,0
gspencergoog,1,1,0,0,0
gstudiogdesigns-max,1,0,0,0,0
guglielmo-san,8,0,0,0,0
gukoff,1,0,0,0,0
gulercan,2,0,0,0,0
gvdongen,2,0,0,0,0
gyliu513,1,0,0,0,0
hamidra,1,0,0,0,0
hammadtq,1,0,0,0,0
harrigan,1,0,0,0,0
harris2012,1,0,0,0,0
haxudev,2,0,0,0,0
heiko-hotz,1,0,0,0,0
herczyn,24,3,0,0,0
hieuminh65,0,2,0,0,0
hkmo99,2,0,0,0,0
hmk,1,0,0,0,0
holtskinner,190,159,6,0,2
hoonji,3,0,0,0,0
hotdogarea,2,0,0,0,0
howientc,1,0,0,0,0
htondro,1,0,0,0,0
hugo-romero-mm,0,1,0,0,0
hujiulong,1,0,0,0,0
humuhimi,1,0,0,0,0
iFurySt,1,0,0,0,0
iamrajiv,2,0,0,0,0
ibrahimokuyucu,3,0,1,0,0
idagelic,1,0,0,0,0
ieb,1,0,0,0,0
iliesicatrinel,6,0,0,0,0
imfing,1,0,0,0,0
imran-siddique,21,5,1,0,0
inesmcm26,7,1,0,0,0
ipapapa,1,0,0,0,0
irshadnilam,3,0,0,0,0
ishymko,14,2,0,0,0
izzymsft,25,8,0,0,0
jackwotherspoon,2,0,0,0,0
jamesarmenta,1,0,0,0,0
jamesev15,1,0,0,0,0
jamesfebin,1,0,0,0,0
jankrynauw,1,0,0,0,0
jaredrsommer,1,0,0,0,0
jasonmadigan,1,0,0,0,0
jeanibarz,2,0,0,0,0
jebinj22,5,1,0,0,0
jeff-nasseri,1,0,0,0,0
jeletor,2,0,0,0,0
jenish2917,2,0,0,0,0
jerlyjelly,1,0,0,0,0
jeromemassot,1,0,0,0,0
jesuino,1,0,0,0,0
jfabend,1,0,0,0,0
jkfnc,1,0,0,0,0
jland-redhat,7,2,0,0,0
jlestebanbenu,1,0,0,0,0
jlfolland,2,0,0,0,0
jmandel,8,1,0,0,0
jmesnil,6,0,0,0,0
jmracek,1,0,0,0,0
jnapper7,1,0,0,0,0
joaovilker,1,0,0,0,0
jocelynh-microsoft,3,0,0,0,0
joepvgenuchten,1,0,0,0,0
joevidev,1,1,0,0,0
johnson7788,3,0,0,0,0
jokemanfire,2,0,0,0,0
jonigl,4,2,0,0,0
joshhalley,1,3,0,0,1
joshua-mo-143,1,0,0,0,0
jowpurcinelli,1,0,0,0,0
jpandrade30,1,0,0,0,0
jrcks67,1,0,0,0,0
jsahil,2,0,0,0,0
jtanningbed,1,1,0,0,0
justfalter,6,1,0,0,0
justin-octo,0,0,1,0,0
jwson-automation,0,2,0,0,0
k-jarzyna,1,0,0,0,0
kabir,6,0,0,0,0
kadirpekel,1,0,0,0,0
kay-schmitteckert,1,0,0,0,0
kdenhartog,3,0,0,0,0
kedoska,1,0,0,0,0
keenranger,1,0,0,0,0
kenhuangus,1,0,0,0,0
kibitzing,1,0,0,0,0
kimehdgns,1,0,0,0,0
kimsr96,1,0,0,0,0
kirmorozov,1,0,0,0,0
kkgupta-github,0,1,0,0,0
knuckles-stack,2,0,0,0,0
koteswaran2186,1,0,0,0,0
koverholt,1,12,0,0,0
koyeliaghosh,1,0,0,0,0
kpavlov,1,0,0,0,0
krebznet,1,0,0,0,0
kshitizz36,2,1,0,0,0
kthota-g,82,42,0,0,0
kubni,1,0,0,0,0
kukuyuhai,1,0,0,0,0
kuldeepjain-bitcot,1,0,0,0,0
kurt-r2c,1,0,1,0,0
kyleacmooney,2,0,0,0,0
lahlfors,0,0,1,0,0
lalrow,2,0,0,0,0
lambochen,2,0,0,0,0
laurentsimon,8,0,0,0,0
leavez,1,0,0,0,0
lerhaupt,0,1,0,0,0
lexi-k,2,0,0,0,0
liar666,2,0,0,0,0
lifieai,1,1,1,0,0
lindsaydsgdnolan-eng,2,0,0,0,0
liuming-dev,1,0,0,0,0
liuzengh,1,2,0,0,0
lj-raidiam,1,0,0,0,0
lkawka,7,3,0,0,0
logan-markewich,4,2,0,0,0
logan272,10,1,0,0,0
loganaden,2,0,0,0,0
loganwolfe-ims,1,0,0,0,0
lorenzocipriani-huawei,3,1,0,0,0
lrosenthol,2,0,0,0,0
lucamontin,1,0,0,0,0
lukaszkostrzewa,2,0,0,0,0
lukehinds,21,7,3,0,1
lumeche,0,1,0,0,0
luyiourwong,1,0,0,0,0
madankumarpichamuthu,20,2,0,0,0
maeste,26,4,1,0,0
mahghappy,1,0,0,0,0
mandle420,1,0,0,0,0
manja316,1,0,0,0,0
manojk0303,2,0,0,0,0
manojsharmadcx,2,0,0,0,0
marelab,1,0,1,0,0
marianogonzalez,2,0,0,0,0
marketmaker4enterprise,1,0,0,0,0
markgoho,2,0,0,0,0
marksal87,1,0,0,0,0
martimfasantos,1,0,0,0,0
matoushavlena,10,5,0,0,0
matsk-sinch,1,0,0,0,0
maxbrokman,1,0,0,0,0
maxekman,3,0,0,0,0
maxzyma,1,1,0,0,0
mbleigh,1,0,0,0,0
mcglabs,5,0,0,0,0
mclenhard,0,1,0,0,0
mdii,2,0,0,0,0
meetrais,3,1,0,0,0
meguminnnnnnnnn,2,0,0,0,0
melvinjlobos,1,0,0,0,0
mempirate,1,0,0,0,0
mescaja,1,0,0,0,0
michelschep,4,0,0,0,0
mihaimaruseac,4,1,0,0,0
mikeas1,72,7,0,0,0
mikeedjones,1,0,0,0,0
mikeromano38,1,0,0,0,0
mikesir87,1,1,0,0,0
mikestaub,1,0,0,0,0
mikumifa,2,1,0,0,1
mindpower,3,2,0,0,0
mjunaidca,2,0,0,0,0
mkschreder,1,0,0,0,0
moonbox3,12,9,0,0,0
mprynce,2,0,0,0,0
mrorigo,1,1,0,0,0
msardara,4,0,0,0,0
mskadu,1,0,0,0,0
mting806,1,0,0,0,0
mukteshkrmishra,1,1,0,0,0
muscariello,26,14,1,0,0
muthub-ai,2,1,0,0,0
mvakoc,1,3,0,0,0
mycosavant,1,0,0,0,0
n1lanjan,1,0,0,0,0
nahapetyan-serob,1,0,0,0,0
nandana,0,1,0,0,0
nandrews729,1,0,0,0,0
nbadf1981-tech,1,0,0,0,0
needcoder,0,0,1,0,0
nembal,1,0,0,0,0
neoUltra-66,1,0,0,0,0
nerunja,1,0,0,0,0
nextpulse,0,1,0,0,0
nicholasbreckwoldt,1,0,0,0,0
nickossdev,2,0,0,0,0
nidhi-pathak,1,0,0,0,0
niguowei44,4,0,0,0,0
nikhilmaddirala,1,0,0,0,0
nithin-nk,2,0,0,0,0
nitin737,1,0,0,0,0
no7dw,1,0,0,0,0
nvcnvn,1,0,0,0,0
oabdelkarim,1,0,0,0,0
ognis1205,99,45,3,0,4
olileger,1,0,0,0,0
oliverlabs,7,5,0,0,0
omkar-12bits,2,0,0,0,0
one-kash,1,0,0,0,0
oopslink,3,0,0,0,0
openaitx-system,0,1,0,0,0
ossfellow,1,0,0,0,0
pab1it0,0,0,1,0,0
palladius,4,2,0,0,0
paparth,1,0,0,0,0
pascal910107,3,0,0,0,0
patwhite,10,0,0,0,0
patwlan,4,0,0,0,0
pauldotknopf,1,0,0,0,0
pausanchez,1,0,0,0,0
pavankumarleo,1,0,0,0,0
pavelgj,0,1,0,0,0
pcingola,2,0,0,0,0
pcuci,1,0,0,0,0
perfectspr,1,0,0,0,0
peterwang2013,1,1,0,0,0
phillipgibson,1,0,0,0,0
pilartomas,1,0,0,0,0
pinchwork,1,1,0,0,0
pointhalo,1,0,0,0,0
postbird,2,0,0,0,0
powmax-commits,4,0,0,0,0
ppattanayak,1,0,0,0,0
prashubk,0,1,0,0,0
prassanna-ravishankar,1,0,0,0,0
princejha95,10,2,0,0,0
priyankjecrc,2,0,0,0,0
prokolyvakis,1,0,0,0,0
promptrotator,2,1,0,0,0
prosa21,1,0,0,0,0
pstephengoogle,74,18,1,0,0
pszjmb1,1,0,0,0,0
ptiper,3,0,0,0,0
puchengy,0,1,0,0,0
punkyoon,1,0,0,0,0
pvlasov,1,0,0,0,0
pwwpche,4,1,1,0,0
qiansuo1,1,0,0,0,0
qingyun-wu,1,1,0,0,0
questflow-kyle,1,0,0,0,0
r3motecontrol,1,0,0,0,0
ragaoua,1,0,0,0,0
rajeshvelicheti,21,16,0,0,0
rajhanshdhami,2,2,0,0,0
rajib76,2,0,1,0,0
raravena80,0,1,0,0,0
raveenb,1,0,0,0,0
ravneetgrewal,1,0,0,0,0
rclayton-godaddy,1,0,0,0,0
reatang,1,0,0,0,0
rebeccacamejo,2,0,0,0,0
rescrv,1,0,0,0,0
reskin89,1,0,0,0,0
resouer,1,0,0,0,0
richard-rance,2,0,0,0,0
richardanaya,3,0,0,0,0
richgo,3,0,0,0,0
ritsuki1227,2,2,0,0,0
robert-at-pretension-io,19,2,1,0,0
robinmanuelthiel,1,1,0,0,0
robomotic,7,0,0,0,0
rodrigallardo,1,0,0,0,1
rogpeppe,2,0,0,0,0
rohit2k21,0,2,0,0,1
rokonec,1,1,1,0,0
romairi,1,0,0,0,0
ronaldpetty,0,1,0,0,0
ronantakizawa,1,0,0,0,0
rootwarp,1,0,0,0,0
rrrodzilla,1,0,0,0,0
rsgrewal-aws,1,0,0,0,0
rsoika,2,0,0,0,0
ruFFaa,1,0,0,0,0
ruanspies,0,1,0,0,0
rwrz,1,0,0,0,0
ryan-szns,1,0,0,0,0
sahilcreator07,1,0,0,0,0
sallespro,1,0,0,0,0
salqadri,2,1,0,0,0
sambhav,0,1,0,0,0
samuelemarro,0,1,0,0,0
sandangel,4,0,0,0,0
sandyskies,2,0,2,0,0
sangpire,1,1,0,0,0
sanjeevkumar761,1,0,0,0,0
sarahjaz,1,0,0,0,0
sarvarimamov,0,0,0,0,1
satendrakumar,3,1,0,0,0
satishkamavaram,1,0,0,0,0
scidomino,3,0,0,0,0
scvthorsten,1,0,0,0,0
sd0ric4,1,0,0,0,0
secprog,1,0,0,0,0
sepo-eng,1,0,0,0,0
sfitts,6,0,0,0,0
shaikmoeed,1,1,0,0,0
shamblett,2,1,0,0,0
shubham151,1,0,0,0,0
shyam-habarakada,0,0,1,0,0
siacomuzzi,7,1,0,0,0
silverheartshafiq,1,0,0,0,0
simarsher220,1,0,0,0,0
sing1ee,3,2,0,0,0
sjanaX01,1,0,0,0,0
skyfire-ammar,1,0,0,0,0
smileyboy2019,1,0,0,0,0
sms03,3,3,0,0,0
sondotpin,1,0,0,0,0
spricet,7,0,0,0,0
sreanik,1,0,0,0,0
sreejit-a,1,0,0,0,0
star-gazer111,1,0,0,0,0
staverm,1,0,0,0,0
steren,1,0,0,0,0
stkang90,1,0,0,0,0
stojangb,0,1,0,0,0
suensky,1,0,0,0,0
suforme,1,0,0,0,0
sunilp,0,1,0,0,0
sunyuhan1998,2,0,0,0,0
superjvjkdf,0,1,0,0,0
suvedo,5,0,0,0,0
swapydapy,42,5,2,0,0
swarf00,1,0,0,0,0
sxhxliang,0,2,0,0,0
syaproj,2,0,0,0,0
syllogismos,5,2,0,0,0
syumpx,1,1,0,0,0
takassh,0,1,0,0,0
tanemaki,2,1,0,0,0
tangpingqingwa,1,0,0,0,0
tanveer-builds,2,0,0,0,0
taosher,1,0,0,0,0
tatanka1212,3,0,0,0,0
thebenignhacker,4,0,0,0,0
theosp,0,1,0,0,0
thestupd,1,0,0,0,0
thisisnotapril,0,4,0,0,0
tiswanso,3,0,0,0,0
tobiasopdenbrouw,1,0,0,0,0
tomasdev,0,0,1,0,0
tomkis,1,0,1,0,0
tomsun28,3,1,0,0,0
tonycai,1,1,0,0,0
torrmal,1,0,0,0,0
tot-ra,2,0,0,0,0
trssantos,1,0,0,0,0
tucnak,2,0,0,0,0
tunnckoCore,1,0,0,0,0
tymorton,1,0,0,0,0
uestcbraid,1,0,0,0,0
ujnak,1,0,0,0,0
umariyoob,0,1,0,0,0
unizhu,1,0,0,0,0
uttej-vsk,1,0,0,0,0
vibnimit,1,0,0,0,0
vicradon,1,0,0,0,0
victordibia,1,0,0,0,0
victorinect,1,0,0,0,0
vincent-pli,1,0,0,0,0
vineethsai,2,0,0,0,0
vinoo999,23,5,2,0,0
vishalmysore,37,0,0,0,0
vizmut-labs,7,0,0,0,0
vladislavdonchev,4,0,0,0,0
vladkol,1,0,0,0,0
voidcenter,1,0,0,0,0
volodya-lombrozo,2,0,0,0,0
vongosling,8,0,1,0,0
vorburger,1,0,0,0,0
vuminhoang,1,0,0,0,0
vvasylkovskyi,1,0,0,0,0
wadrzl55333,1,0,0,0,0
waitasecant,1,0,0,0,0
weiye-Lee,1,0,0,0,0
wenwenc9,2,0,0,0,0
wenxichen,0,1,0,0,0
whitestone0712,1,0,0,0,0
whitlockjc,26,4,0,0,0
whysage,15,5,0,0,0
widrss,2,0,1,1,0
williamwa,0,1,0,0,0
wilsonsilva,3,1,0,0,0
wjcwjc77,1,0,0,0,0
workkrinal-02,1,0,0,0,0
wsandy1,1,0,0,0,0
wushubang,3,0,0,0,0
x0cipher,1,0,0,0,0
xiongwenxin123,2,0,0,0,0
xray918,0,2,0,0,0
xtrasmal,6,0,0,1,0
xtrycatchx,1,0,0,0,0
xui-will,3,1,0,0,0
y-d-y,1,0,0,0,0
y-tabata,1,0,0,0,0
yadav,1,0,0,0,0
yairyairyair,1,0,0,0,0
yangchi,1,0,0,0,0
yangyang-yyy,4,0,0,0,0
yarolegovich,57,4,0,0,0
yaronf,1,1,0,0,0
yasonk,3,1,0,0,0
ydennisy,6,3,0,0,0
yedidel,4,2,0,0,0
yichenj,1,0,0,0,0
ymmt2005,1,0,0,0,0
ysxu666,3,0,0,0,0
yu-iskw,1,0,0,0,0
yukuanj,1,0,0,0,0
yuluo-yx,0,0,0,0,1
yuqingzcn,1,0,0,0,0
yzhao244,3,1,0,0,0
z-a-f,1,0,0,0,0
z2z23n0,2,0,0,0,0
zamorofthat,2,0,0,0,0
zchee,2,0,0,0,0
zeroasterisk,21,21,1,0,0
zhangjh,1,0,0,0,0
zhengleibin,2,0,0,0,0
zhenjunMa,3,1,0,0,0
zmstone,0,1,0,0,0
zomux,0,0,0,0,1
zoujie-ee,3,0,0,0,0
zzstoatzz,1,2,0,0,0
zzxwill,7,0,0,0,0
