source,target,type,weight
amye,holtskinner,co_comment,4
amye,swapydapy,co_comment,1
pstephengoogle,swapydapy,co_comment,1
izzymsft,kthota-g,co_comment,1
matoushavlena,mikeas1,co_comment,1
matoushavlena,vinoo999,co_comment,1
mikeas1,vinoo999,co_comment,1
kthota-g,zeroasterisk,co_comment,1
holtskinner,maeste,co_comment,2
kthota-g,maeste,co_comment,2
darrelmiller,vongosling,co_comment,1
ToddSegal,chorghemaruti64-creator,co_comment,1
ToddSegal,kthota-g,co_comment,1
ToddSegal,muscariello,co_comment,1
chorghemaruti64-creator,holtskinner,co_comment,1
chorghemaruti64-creator,kthota-g,co_comment,1
chorghemaruti64-creator,muscariello,co_comment,1
kthota-g,muscariello,co_comment,1
Tehsmash,ToddSegal,co_comment,2
ToddSegal,mikeas1,co_comment,1
Tehsmash,dgenio,co_comment,1
herczyn,muscariello,co_comment,1
holtskinner,madankumarpichamuthu,co_comment,1
herczyn,yarolegovich,co_comment,1
darrelmiller,imran-siddique,co_comment,1
amye,herczyn,co_comment,1
holtskinner,ishymko,co_comment,1
The-Nexus-Guard,amye,co_comment,1
Tehsmash,ishymko,co_comment,1
amye,ishymko,co_comment,1
chorghemaruti64-creator,ishymko,co_comment,1
darrelmiller,ishymko,co_comment,1
ToddSegal,herczyn,co_comment,1
holtskinner,yarolegovich,co_comment,1
muscariello,yarolegovich,co_comment,1
abiramit5,holtskinner,co_comment,2
maeste,mikeas1,co_comment,1
maeste,yarolegovich,co_comment,1
mikeas1,pstephengoogle,co_comment,1
pstephengoogle,yarolegovich,co_comment,1
dmandar,kthota-g,co_comment,1
edenreich,yarolegovich,co_comment,1
swapydapy,yarolegovich,co_comment,1
maeste,zeroasterisk,co_comment,1
dmandar,pstephengoogle,co_comment,1
kthota-g,swapydapy,co_comment,2
dmandar,mikeas1,co_comment,1
dmandar,rajeshvelicheti,co_comment,1
Linux2010,holtskinner,co_comment,1
dmandar,koverholt,co_comment,1
dmandar,zeroasterisk,co_comment,1
holtskinner,koverholt,co_comment,1
koverholt,zeroasterisk,co_comment,1
binbandit,djsamseng,co_comment,1
abiramit5,darrelmiller,co_comment,1
abiramit5,kthota-g,co_comment,1
abiramit5,mikeas1,co_comment,1
abiramit5,swapydapy,co_comment,1
mikeas1,swapydapy,co_comment,1
